AWSSI End of Season Totals for
LANCASTER 4 WSW
Lat 42.8278 Lon -90.7889

Season End Year,AWSSI,TempAWSSI,SnowAWSSI,Season Start,Season End,Season Length,MmaxT,MminT,Msnow,MsnowD
1952,1116,580,536,1951-11-02,1952-04-14,163,0,1,0,0
1953,670,403,267,1952-11-26,1953-03-09,102,0,0,0,0
1954,512,411,101,1953-11-26,1954-04-03,127,0,0,0,0
1955,880,510,370,1954-11-24,1955-03-28,123,0,0,1,2
1956,925,618,307,1955-10-30,1956-04-07,159,0,0,0,0
1957,809,532,277,1956-11-21,1957-03-26,124,0,0,0,0
1958,690,477,213,1957-11-20,1958-03-12,111,0,1,0,0
1959,1354,727,627,1958-11-25,1959-04-09,134,0,1,0,0
1960,1164,588,576,1959-11-06,1960-05-08,183,0,0,0,0
1961,705,477,228,1960-11-29,1961-04-18,139,0,0,0,0
1962,1425,687,738,1961-11-27,1962-04-14,137,0,0,0,0
1963,1103,733,370,1962-11-16,1963-03-15,118,0,2,0,0
1964,792,553,239,1963-12-01,1964-04-03,123,0,0,0,0
1965,1036,723,313,1964-11-19,1965-04-01,132,0,0,0,0
1966,764,578,186,1965-11-28,1966-05-11,163,0,1,0,0
1967,880,559,321,1966-11-02,1967-03-23,140,0,0,1,2
1968,601,539,62,1967-11-22,1968-03-22,120,0,1,2,2
1969,1035,598,437,1968-11-19,1969-03-31,131,0,0,2,5
1970,1213,662,551,1969-11-17,1970-03-28,130,0,2,0,0
1971,1383,675,708,1970-11-23,1971-04-03,130,0,1,0,0
1972,1044,651,393,1971-11-08,1972-04-08,151,1,0,0,0
1973,816,505,311,1972-11-13,1973-04-14,151,0,1,0,0
1974,827,561,266,1973-11-30,1974-04-15,135,0,1,0,0
1975,714,541,173,1974-11-13,1975-04-10,147,4,0,4,69
1976,559,488,71,1975-11-24,1976-03-16,112,0,0,0,16
1977,1027,863,164,1976-11-10,1977-04-05,145,1,0,0,37
1978,1268,896,372,1977-11-22,1978-03-25,122,2,0,0,66
1979,1353,866,487,1978-11-21,1979-04-06,135,5,0,0,63
1980,744,601,143,1979-11-09,1980-04-15,157,2,0,0,22
1981,577,446,131,1980-11-28,1981-03-11,102,0,0,0,0
1982,1149,744,405,1981-11-20,1982-04-12,142,2,1,2,55
1983,534,401,133,1982-11-04,1983-04-16,162,0,0,0,16
1984,1082,690,392,1983-11-27,1984-04-22,146,4,1,1,15
1985,826,611,215,1984-11-29,1985-04-09,130,2,3,2,23
1986,1214,760,454,1985-11-09,1986-04-15,156,1,8,1,67
1987,560,442,118,1986-11-10,1987-03-31,140,0,1,0,32
1988,959,617,342,1987-11-30,1988-03-16,106,1,1,12,28
1989,710,591,119,1988-11-12,1989-03-22,129,1,8,2,40
1990,741,575,166,1989-11-17,1990-04-02,135,0,0,2,22
1991,1067,629,438,1990-11-08,1991-04-13,155,0,0,1,32
1992,737,522,215,1991-11-02,1992-03-22,140,0,3,10,13
1993,1067,633,434,1992-11-05,1993-04-02,147,0,0,17,10
1994,1136,765,371,1993-11-25,1994-04-05,130,2,2,2,7
1995,817,528,289,1994-11-29,1995-04-05,126,1,1,2,2
1996,1171,797,374,1995-11-04,1996-03-27,143,1,1,2,20
1997,1145,740,405,1996-11-10,1997-05-01,171,0,0,2,1
1998,657,397,260,1997-10-26,1998-03-24,148,0,0,3,9
1999,733,462,271,1998-11-19,1999-03-15,115,1,1,2,4
2000,780,492,288,1999-11-30,2000-04-11,132,0,3,51,52
2001,1440,751,689,2000-11-13,2001-03-29,135,0,4,2,0
2002,500,392,108,2001-12-01,2002-04-04,123,0,1,0,0
2003,804,677,127,2002-10-27,2003-04-09,163,0,0,1,0
2004,742,541,201,2003-11-28,2004-03-18,110,0,0,0,0
2005,750,507,243,2004-11-30,2005-03-20,109,0,0,0,0
2006,785,519,266,2005-11-16,2006-03-24,127,0,0,0,0
2007,957,638,319,2006-11-10,2007-04-13,153,0,0,0,0
2008,1569,791,778,2007-11-22,2008-04-29,158,0,0,1,2
2009,1158,783,375,2008-11-18,2009-04-14,146,1,1,2,0
2010,1092,599,493,2009-11-30,2010-03-20,109,0,4,0,0
2011,1127,662,465,2010-11-25,2011-04-20,145,0,0,0,0
2012,438,304,134,2011-11-09,2012-03-05,116,0,0,0,0
2013,871,581,290,2012-11-23,2013-04-14,141,8,9,0,0
2014,1557,982,575,2013-11-12,2014-04-15,153,0,0,0,0
2015,1003,721,282,2014-11-12,2015-03-29,136,2,1,1,1
2016,711,413,298,2015-11-21,2016-03-25,124,0,0,1,2
2017,592,443,149,2016-12-01,2017-04-27,146,1,0,0,0

Summary

Max AWSSI,Year,Min AWSSI,Year,Max T AWSSI,Year,Min T AWSSI,Year,Max S AWSSI,Year,Min S AWSSI,Year,Longest Winter,Year,Shortest Winter,Year
1569,2008,438,2012,982,2014,304,2012,778,2008,62,1968,183,1960,102,1981
